City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,agbor,NG,6.2518,6.1934,77.68,90,42,5.17,1681335369
1,mataura,NZ,-46.1927,168.8643,52.48,92,100,6.98,1681335370
2,basoko,CD,1.2391,23.616,72.86,79,100,2.98,1681335370
3,deputatskiy,RU,69.3,139.9,-6.11,92,11,2.66,1681335371
4,vila franca do campo,PT,37.7167,-25.4333,59.41,82,99,3.87,1681335371
5,kapaa,US,22.0752,-159.319,79.12,78,75,14.97,1681335371
6,cape town,ZA,-33.9258,18.4232,61.09,74,0,2.3,1681335300
7,bathsheba,BB,13.2167,-59.5167,81.21,69,20,16.11,1681335372
8,hilo,US,19.7297,-155.09,78.53,76,75,9.22,1681335373
9,new norfolk,AU,-42.7826,147.0587,54.91,79,61,1.12,1681335373
10,tuy hoa,VN,13.0833,109.3,78.48,84,100,2.53,1681335373
11,castro,BR,-24.7911,-50.0119,66.52,74,96,1.9,1681335374
12,rikitea,PF,-23.1203,-134.9692,77.83,69,39,11.61,1681335374
13,klungkung,ID,-8.5333,115.4,77.68,95,100,4.32,1681335374
14,ostrovnoy,RU,68.0531,39.5131,16.16,81,100,2.71,1681335374
15,chongwe,ZM,-15.3292,28.682,62.53,89,91,3.76,1681335375
16,punta arenas,CL,-53.15,-70.9167,42.91,65,0,4.61,1681335117
17,davila,PH,18.4726,120.5763,76.98,87,57,14.18,1681335376
18,salamanca,ES,40.8333,-6.0,42.58,82,4,7.45,1681335376
19,mareeba,AU,-17.0,145.4333,76.44,92,94,0.78,1681335377
20,sovetskiy,RU,61.3614,63.5842,15.17,90,100,11.77,1681335377
21,hofn,IS,64.2539,-15.2082,38.73,78,28,10.6,1681335377
22,mar del plata,AR,-38.0023,-57.5575,58.08,77,20,9.22,1681335378
23,faanui,PF,-16.4833,-151.75,82.6,67,40,7.94,1681335379
24,hermanus,ZA,-34.4187,19.2345,52.81,77,100,5.32,1681335379
25,lesnoy,RU,57.6198,63.0784,36.68,84,26,6.85,1681335379
26,bluff,NZ,-46.6,168.3333,52.81,82,99,19.95,1681335380
27,atuona,PF,-9.8,-139.0333,80.87,67,100,10.16,1681335380
28,arraial do cabo,BR,-22.9661,-42.0278,76.86,78,75,11.5,1681335380
29,araci,BR,-11.3333,-38.9667,79.05,64,29,14.43,1681335381
30,pangnirtung,CA,66.1451,-65.7125,15.8,67,20,4.61,1681335381
31,katsuura,JP,35.1333,140.3,56.19,63,95,17.36,1681335382
32,provideniya,RU,64.3833,-173.3,8.71,56,0,1.99,1681335382
33,supuru de jos,RO,47.4667,22.8,44.73,93,16,3.74,1681335382
34,russell,US,32.3502,-85.1999,76.15,29,0,5.75,1681335383
35,north bend,US,43.4065,-124.2243,52.16,69,75,5.75,1681335383
36,iqaluit,CA,63.7506,-68.5145,20.93,68,75,5.75,1681335383
37,kodiak,US,57.79,-152.4072,42.31,42,0,16.11,1681335384
38,mount pleasant,US,32.7941,-79.8626,78.94,51,0,10.36,1681335332
39,hobart,AU,-42.8794,147.3294,55.26,96,75,0.0,1681335266
40,port alfred,ZA,-33.5906,26.891,62.19,84,100,9.6,1681335385
41,murmansk,RU,68.0,34.0,13.86,94,28,3.02,1681335385
42,bambous virieux,MU,-20.3428,57.7575,75.45,94,20,4.61,1681335385
43,mamallapuram,IN,12.6264,80.1722,83.05,72,0,6.78,1681335386
44,sechura,PE,-5.5569,-80.8222,83.66,68,80,12.93,1681335386
45,tiarei,PF,-17.5333,-149.3333,86.02,73,9,6.71,1681335386
46,komsomolskiy,UZ,40.4272,71.7189,54.32,87,100,6.91,1681335387
47,lompoc,US,34.6391,-120.4579,69.69,69,40,28.01,1681335387
48,hammerfest,NO,70.6634,23.6821,36.05,55,0,19.57,1681335388
49,port elizabeth,ZA,-33.918,25.5701,62.31,75,0,6.91,1681335388
50,san patricio,US,28.017,-97.5169,80.19,41,0,7.09,1681335388
51,mayumba,GA,-3.432,10.6554,79.75,86,98,4.7,1681335389
52,jamestown,US,42.097,-79.2353,73.04,37,0,20.71,1681335389
53,ribeira grande,PT,38.5167,-28.7,62.78,93,71,5.01,1681335389
54,koumac,NC,-20.5667,164.2833,79.65,76,4,5.01,1681335390
55,nongpoh,IN,25.9,91.8833,68.36,31,0,4.16,1681335390
56,airai,TL,-8.9266,125.4092,61.32,91,100,2.26,1681335390
57,busselton,AU,-33.65,115.3333,65.95,72,82,19.24,1681335391
58,south valley,US,35.0101,-106.6781,84.58,11,20,14.97,1681335391
59,sandi,IN,27.3,79.95,81.54,24,32,8.08,1681335392
60,half moon bay,US,37.4636,-122.4286,63.03,61,0,23.02,1681335151
61,araguacu,BR,-12.9306,-49.8264,76.23,85,95,2.26,1681335393
62,qaanaaq,GL,77.484,-69.3632,1.0,77,67,0.89,1681335393
63,mahebourg,MU,-20.4081,57.7,75.49,94,20,4.61,1681335394
64,klyuchi,RU,52.2667,79.1667,38.21,46,100,15.55,1681335394
65,tasiilaq,GL,65.6145,-37.6368,35.76,96,88,6.33,1681335395
66,vaini,TO,-21.2,-175.2,84.36,74,20,11.5,1681335395
67,sitka,US,57.0531,-135.33,37.29,87,100,9.22,1681335395
68,butaritari,KI,3.0707,172.7902,81.36,74,61,5.86,1681335395
69,vao,NC,-22.6667,167.4833,76.57,76,100,2.73,1681335395
70,puerto ayora,EC,-0.7393,-90.3518,89.56,80,92,7.0,1681335348
71,biak,ID,-0.9131,122.8766,76.77,82,76,1.88,1681335396
72,krasnoselkup,RU,65.7,82.4667,-16.31,98,83,8.93,1681335396
73,saskylakh,RU,71.9167,114.0833,9.37,93,100,16.08,1681335396
74,tura,IN,25.5198,90.2201,73.22,29,0,4.21,1681335397
75,karratha,AU,-20.7377,116.8463,82.69,70,100,7.11,1681335397
76,raudeberg,NO,61.9875,5.1352,48.87,46,96,3.4,1681335397
77,tuktoyaktuk,CA,69.4541,-133.0374,-4.0,71,40,16.11,1681335397
78,souillac,MU,-20.5167,57.5167,75.58,94,20,4.61,1681335398
79,carnarvon,AU,-24.8667,113.6333,70.77,77,36,18.9,1681335398
80,luderitz,NA,-26.6481,15.1594,58.41,73,66,8.81,1681335398
81,laguna,US,38.421,-121.4238,66.34,55,20,9.22,1681335398
82,east london,ZA,-33.0153,27.9116,65.25,75,100,9.04,1681335398
83,nemuro,JP,43.3236,145.575,38.55,70,3,14.99,1681335399
84,camocim,BR,-2.9022,-40.8411,78.37,87,31,9.35,1681335399
85,saint-philippe,RE,-21.3585,55.7679,76.59,85,29,0.2,1681335399
86,havoysund,NO,70.9963,24.6622,34.03,75,18,17.43,1681335399
87,okakarara,NA,-20.5833,17.4333,71.83,34,44,5.32,1681335399
88,simao,CN,22.7886,100.9748,62.1,34,3,0.83,1681335399
89,nikolskoye,RU,59.7035,30.7861,44.8,97,81,7.18,1681335400
90,evensk,RU,61.95,159.2333,8.89,71,1,2.75,1681335400
91,mogadishu,SO,2.0371,45.3438,82.47,77,100,12.88,1681335216
92,bengkulu,ID,-3.8004,102.2655,74.57,90,83,4.03,1681335401
93,kununurra,AU,-15.7667,128.7333,76.98,100,100,4.61,1681335401
94,saquena,PE,-4.6667,-73.5167,81.52,84,64,0.76,1681335401
95,barrow,US,71.2906,-156.7887,-9.38,77,0,9.22,1681335402
96,albany,US,42.6001,-73.9662,76.05,56,3,9.4,1681335333
97,saint george,US,37.1041,-113.5841,80.44,18,0,20.71,1681335135
98,sisimiut,GL,66.9395,-53.6735,23.09,90,86,8.97,1681335402
99,kruisfontein,ZA,-34.0033,24.7314,57.88,47,100,6.17,1681335403
100,namibe,AO,-15.1961,12.1522,73.54,68,49,8.46,1681335403
101,upernavik,GL,72.7868,-56.1549,14.22,90,60,5.14,1681335403
102,prudnik,PL,50.3212,17.5746,46.9,65,86,7.2,1681335403
103,jambi,ID,-1.6,103.6167,73.74,98,96,1.07,1681335403
104,qandala,SO,11.472,49.8728,84.38,67,34,10.04,1681335404
105,sangar,RU,63.9242,127.4739,21.24,96,100,2.46,1681335404
106,cuervos,MX,32.6314,-114.8556,92.37,14,96,2.17,1681335404
107,kommunar,RU,59.6206,30.39,44.44,97,88,6.87,1681335404
108,bredasdorp,ZA,-34.5322,20.0403,56.21,84,100,4.34,1681335257
109,baruun-urt,MN,46.6806,113.2792,31.15,34,46,9.08,1681335404
110,san cristobal,VE,7.7669,-72.225,77.18,71,98,2.55,1681335404
111,goderich,CA,43.7501,-81.7165,70.12,43,2,14.97,1681335347
112,muros,ES,42.7762,-9.0603,47.08,82,15,11.97,1681335405
113,kindia,GN,10.0569,-12.8658,78.78,63,100,3.87,1681335405
114,ilulissat,GL,69.2167,-51.1,23.02,93,100,4.61,1681335405
115,berlevag,NO,70.8578,29.0864,28.4,64,0,25.32,1681335406
116,alekseyevskaya,RU,50.2896,42.1845,52.81,57,86,15.19,1681335406
117,shelburne,CA,44.0787,-80.2041,77.45,49,0,21.05,1681335406
118,qasigiannguit,GL,68.8193,-51.1922,23.25,94,58,2.37,1681335406
119,chicama,PE,-7.8447,-79.1469,80.91,68,95,9.35,1681335406
120,sibu,MY,2.3,111.8167,77.31,94,40,0.0,1681335407
121,saint-ambroise,CA,48.5501,-71.3324,46.94,52,88,11.5,1681335407
122,mirabad,AF,30.4362,61.8383,81.64,12,44,9.13,1681335407
123,piet retief,ZA,-27.0071,30.8132,50.77,43,70,4.79,1681335407
124,pacifica,US,37.6138,-122.4869,63.57,65,20,23.02,1681335134
125,aksarka,RU,66.5606,67.7975,-10.73,95,43,4.63,1681335408
126,beringovskiy,RU,63.05,179.3167,1.13,87,70,12.15,1681335409
127,zhigansk,RU,66.7697,123.3711,-7.6,100,100,3.89,1681335409
128,kieta,PG,-6.2167,155.6333,80.2,82,95,1.72,1681335409
129,taklisah,TN,36.7833,10.6333,61.21,46,3,2.57,1681335409
130,saldanha,ZA,-33.0117,17.9442,59.05,77,100,5.46,1681335410
131,tutoia,BR,-2.7619,-42.2744,79.38,82,73,8.41,1681335410
132,inongo,CD,-1.95,18.2667,73.22,89,94,4.76,1681335410
133,banjarmasin,ID,-3.3244,114.591,78.94,96,93,1.03,1681335410
134,panalingaan,PH,8.7842,117.4231,77.63,84,15,1.68,1681335411
135,kempele,FI,64.9131,25.5034,35.62,71,0,14.97,1681335411
136,anadyr,RU,64.75,177.4833,-7.1,77,0,11.18,1681335411
137,padang,ID,-0.9492,100.3543,75.25,88,97,3.4,1681335412
138,fevik,NO,58.3794,8.6766,44.37,86,100,12.41,1681335412
139,puerto madero,MX,14.7208,-92.4215,91.6,58,20,9.22,1681335412
140,finschhafen,PG,-6.6024,147.8681,79.7,82,97,2.68,1681335412
141,kahului,US,20.8947,-156.47,82.42,62,20,24.16,1681335412
142,moranbah,AU,-22.0016,148.0466,76.1,65,91,14.94,1681335413
143,calama,CL,-22.4667,-68.9333,73.89,13,0,20.71,1681335413
144,flinders,AU,-34.5833,150.8552,62.19,87,87,8.01,1681335413
145,padilla,CO,3.2204,-76.3139,81.97,76,88,1.7,1681335414
146,camacari,BR,-12.6975,-38.3242,83.97,84,27,5.61,1681335414
147,brigantine,US,39.4101,-74.3646,83.19,26,0,17.27,1681335140
148,tiznit,MA,29.5833,-9.5,71.26,28,0,3.31,1681335414
149,lincoln,US,40.8,-96.667,87.87,43,0,24.16,1681335399
150,kirakira,SB,-10.4544,161.9205,83.1,75,44,2.13,1681335414
151,carutapera,BR,-1.195,-46.02,77.04,92,100,5.95,1681335414
152,rabo de peixe,PT,37.8,-25.5833,58.51,88,75,6.91,1681335415
153,harper,LR,4.375,-7.7169,79.99,85,19,6.64,1681335415
154,skegness,GB,53.1436,0.3363,44.06,84,71,22.86,1681335415
155,narsaq,GL,60.9167,-46.05,39.42,82,66,3.33,1681335415
156,wamba,NG,8.9333,8.6,83.62,43,76,1.77,1681335415
157,jining,CN,35.405,116.5814,52.11,57,1,9.35,1681335416
158,at-bashi,KG,41.1702,75.8106,36.79,92,97,2.57,1681335416
159,dickinson,US,29.4608,-95.0513,80.06,58,75,10.36,1681335124
160,portland,US,45.5234,-122.6762,50.41,79,75,9.22,1681335405
161,voh,NC,-20.9667,164.7,80.1,76,14,2.19,1681335417
162,oyama,JP,36.3,139.8,57.58,40,10,1.41,1681335417
163,georgetown,MY,5.4112,100.3354,82.33,92,20,3.44,1681335350
164,leningradskiy,RU,69.3833,178.4167,-0.17,91,99,4.9,1681335418
165,lumeje,AO,-11.55,20.7833,65.62,91,97,2.75,1681335418
166,kapoeta,SS,4.7717,33.5903,85.1,40,100,11.1,1681335418
167,lima,PE,-12.0432,-77.0282,79.05,65,75,10.36,1681335418
168,biltine,TD,14.5333,20.9167,80.85,14,26,21.56,1681335419
169,grajau,BR,-5.8194,-46.1386,77.59,83,72,3.89,1681335210
170,ixtapa,MX,20.7,-105.2,79.83,65,75,13.8,1681335419
171,quatre cocos,MU,-20.2078,57.7625,75.31,84,44,6.29,1681335419
172,hualmay,PE,-11.0964,-77.6139,77.07,75,90,10.94,1681335419
173,palmer,US,42.1584,-72.3287,79.07,20,20,20.71,1681335419
174,camopi,GF,3.1655,-52.3158,74.41,96,100,4.29,1681335420
175,dikson,RU,73.5069,80.5464,-7.71,92,51,18.7,1681335420
176,olden,NO,61.8364,6.8064,48.94,73,100,7.54,1681335420
177,torrington,US,41.8007,-73.1212,81.01,30,50,8.01,1681335251
178,kamenka,RU,51.3223,42.7678,51.67,48,100,14.45,1681335420
179,yinchuan,CN,38.4681,106.2731,56.26,28,83,5.77,1681335420
180,ewa beach,US,21.3156,-158.0072,82.35,63,20,16.11,1681335421
181,severo-kurilsk,RU,50.6789,156.125,31.32,95,100,25.9,1681335421
182,pisco,PE,-13.7,-76.2167,78.03,73,74,10.27,1681335421
183,vostok,RU,46.4856,135.8833,29.95,68,98,11.32,1681335421
184,kabare,CD,-2.4683,28.8242,60.53,95,100,1.74,1681335421
185,lorengau,PG,-2.0226,147.2712,82.71,78,95,10.31,1681335422
186,umm kaddadah,SD,13.6017,26.6876,75.06,17,5,21.47,1681335422
187,lasa,IT,46.6166,10.7002,48.02,99,99,1.66,1681335423
188,cabo san lucas,MX,22.8909,-109.9124,88.9,23,40,11.5,1681335423
189,redwater,US,33.3582,-94.2544,80.89,47,89,3.0,1681335423
190,alyangula,AU,-13.8483,136.4192,81.41,80,84,6.42,1681335424
191,yonezawa,JP,37.9167,140.1167,42.13,62,1,4.05,1681335424
192,praxedis guerrero,MX,31.3667,-106.0167,83.66,12,4,13.56,1681335425
193,ancud,CL,-41.8697,-73.8203,56.43,74,100,4.74,1681335425
194,ugoofaaru,MV,5.6667,73.0,83.57,75,9,8.86,1681335426
195,rawson,AR,-43.3002,-65.1023,49.28,50,72,17.6,1681335426
196,tiksi,RU,71.6872,128.8694,-13.74,100,95,2.39,1681335427
197,vanavara,RU,60.34,102.2797,6.21,96,99,5.1,1681335427
198,thompson,CA,55.7435,-97.8558,30.36,86,100,10.36,1681335427
199,pareora,NZ,-44.4871,171.2132,55.87,89,100,11.12,1681335427
200,akyab,MM,20.15,92.9,77.09,68,9,6.78,1681335428
201,kaitangata,NZ,-46.2817,169.8464,52.38,93,100,11.21,1681335428
202,dobroye,RU,52.8678,39.8109,50.76,49,100,7.43,1681335428
203,mahajanga,MG,-15.7167,46.3167,78.82,89,20,2.3,1681335412
204,knysna,ZA,-34.0363,23.0471,59.36,65,100,4.76,1681335428
205,boende,CD,-0.2167,20.8667,71.67,86,100,0.47,1681335429
206,najran,SA,17.4924,44.1277,77.65,48,19,3.62,1681335429
207,payo,ID,-3.7508,103.6372,71.76,92,100,2.24,1681335429
208,komsomolets,KZ,53.7453,62.0708,43.61,53,0,8.25,1681335430
209,kidal,ML,18.4411,1.4078,85.15,14,97,3.24,1681335430
210,cascais,PT,38.6979,-9.4215,56.05,65,76,21.0,1681335431
211,rafraf,TN,37.1904,10.1837,61.11,55,10,7.07,1681335434
212,lerwick,GB,60.1545,-1.1494,44.6,83,41,15.77,1681335434
213,olinda,BR,-8.0089,-34.8553,82.13,74,40,12.66,1681335435
214,celestun,MX,20.8667,-90.4,79.41,63,3,12.19,1681335436
215,seidu,SL,9.0167,-10.6,79.57,36,63,0.81,1681335436
216,khonsa,IN,27.0167,95.5667,62.13,43,0,4.61,1681335437
217,tuatapere,NZ,-46.1333,167.6833,52.59,92,100,7.14,1681335437
218,katobu,ID,-4.9408,122.5276,75.18,95,74,3.56,1681335437
219,zarubino,RU,42.63,131.0922,39.38,52,52,3.22,1681335438
220,avera,US,33.194,-82.5271,78.85,40,30,4.97,1681335439
221,charters towers,AU,-20.1,146.2667,76.21,80,64,9.64,1681335439
222,baghdad,IQ,33.3406,44.4009,60.71,72,40,5.75,1681335397
223,atig,RU,56.6931,59.4227,36.19,80,3,4.47,1681335440
224,kavieng,PG,-2.5744,150.7967,80.11,80,100,9.71,1681335440
225,sao filipe,CV,14.8961,-24.4956,72.66,77,20,6.46,1681335441
226,orotukan,RU,62.2667,151.7,7.21,73,28,1.7,1681335441
227,alofi,NU,-19.0595,-169.9187,82.29,69,40,14.97,1681335442
228,ucluelet,CA,48.9329,-125.5528,50.31,78,3,5.99,1681335187
229,fukue,JP,32.6881,128.8419,59.11,51,32,4.68,1681335442
230,nanortalik,GL,60.1432,-45.2371,32.95,90,100,1.88,1681335443
231,saint-pierre,RE,-21.3393,55.4781,76.68,78,0,4.61,1681335396
232,ulladulla,AU,-35.35,150.4667,56.77,83,97,12.68,1681335443
233,wenling,CN,28.3669,121.36,55.0,61,32,6.11,1681335443
234,sorland,NO,67.667,12.6934,42.66,84,100,18.68,1681335444
235,beloha,MG,-25.1667,45.05,69.31,94,0,4.56,1681335445
236,bokoro,TD,12.3807,17.0568,85.55,13,80,16.46,1681335446
237,caravelas,BR,-17.7125,-39.2481,75.76,88,37,5.28,1681335446
238,shingu,JP,33.7333,135.9833,52.61,72,0,5.7,1681335446
239,ponta do sol,PT,32.6667,-17.1,65.03,76,17,7.43,1681335447
240,tweed,CA,44.4751,-77.3162,78.06,50,32,11.05,1681335447
241,rodino,RU,52.5,80.25,37.22,50,100,19.24,1681335448
242,taoudenni,ML,22.6783,-3.9836,82.8,8,43,7.11,1681335448
243,okhotsk,RU,59.3833,143.3,13.73,95,79,6.13,1681335448
244,gat,IL,31.61,34.7642,54.28,100,9,11.14,1681335448
245,mizdah,LY,31.4451,12.9801,63.73,15,0,3.71,1681335448
246,saint stephen,GB,50.3333,-4.9,48.47,71,75,28.77,1681335449
247,katherine,AU,-14.4667,132.2667,75.52,100,92,0.0,1681335450
248,juba,SS,4.8517,31.5825,84.63,44,90,4.21,1681335450
249,baykit,RU,61.67,96.37,9.66,97,100,4.23,1681335450
250,pervomayskoye,RU,43.919,46.7102,57.72,73,69,8.63,1681335451
251,chokurdakh,RU,70.6333,147.9167,-0.81,93,91,5.55,1681335451
252,hay river,CA,60.8156,-115.7999,33.76,74,20,8.05,1681335451
253,ilinskoye-khovanskoye,RU,56.9718,39.7684,46.4,63,99,4.25,1681335452
254,seoul,KR,37.5683,126.9778,42.24,81,0,8.05,1681335214
255,port augusta,AU,-32.5,137.7667,57.13,77,28,3.44,1681335453
256,longyearbyen,SJ,78.2186,15.6401,31.84,74,75,9.22,1681335453
257,mayo,US,38.8876,-76.5119,84.67,29,0,12.66,1681335381
258,burevestnik,RU,56.144,43.7883,40.75,70,0,0.0,1681335454
259,lavrentiya,RU,65.5833,-171.0,5.38,81,77,3.11,1681335454
260,yumen,CN,40.2833,97.2,44.76,38,100,15.9,1681335454
261,esperance,AU,-33.8667,121.9,62.98,71,0,8.28,1681335455
262,alihe,CN,50.5667,123.7167,25.45,75,12,2.82,1681335455
263,brae,GB,60.3964,-1.353,42.26,84,43,14.38,1681335456
264,vardo,NO,70.3705,31.1107,30.18,74,55,19.57,1681335456
265,victoria,HK,22.2855,114.1577,74.19,88,99,5.01,1681335272
